second,controller_type,active_phase,total_queue_cars,avg_wait_time_sec,vehicle_throughput_count,co2_emissions_kg,emergency_preemption_active
1,Static_120s_Fixed,North-South,10,29.03,4,0.008,0
2,Static_120s_Fixed,North-South,14,40.17,2,0.0112,0
3,Static_120s_Fixed,North-South,11,28.87,4,0.0088,0
4,Static_120s_Fixed,North-South,11,33.33,2,0.0088,0
5,Static_120s_Fixed,North-South,15,41.72,3,0.012,0
6,Static_120s_Fixed,North-South,13,35.93,2,0.0104,0
7,Static_120s_Fixed,North-South,10,27.95,1,0.008,0
8,Static_120s_Fixed,North-South,12,32.74,3,0.0096,0
9,Static_120s_Fixed,North-South,14,39.84,0,0.0112,0
10,Static_120s_Fixed,North-South,14,41.48,0,0.0112,0
11,Static_120s_Fixed,North-South,14,40.11,4,0.0112,0
12,Static_120s_Fixed,North-South,10,26.83,4,0.008,0
13,Static_120s_Fixed,North-South,15,43.76,1,0.012,0
14,Static_120s_Fixed,North-South,17,50.13,4,0.0136,0
15,Static_120s_Fixed,North-South,11,32.03,2,0.0088,0
16,Static_120s_Fixed,North-South,9,25.13,3,0.0072,0
17,Static_120s_Fixed,North-South,13,38.35,2,0.0104,0
18,Static_120s_Fixed,North-South,11,30.92,0,0.0088,0
19,Static_120s_Fixed,North-South,10,28.94,3,0.008,0
20,Static_120s_Fixed,North-South,9,27.67,4,0.0072,0
21,Static_120s_Fixed,North-South,9,24.41,2,0.0072,0
22,Static_120s_Fixed,North-South,20,54.6,0,0.016,0
23,Static_120s_Fixed,North-South,12,36.36,3,0.0096,0
24,Static_120s_Fixed,North-South,9,23.79,3,0.0072,0
25,Static_120s_Fixed,North-South,11,30.08,1,0.0088,0
26,Static_120s_Fixed,North-South,11,34.47,2,0.0088,0
27,Static_120s_Fixed,North-South,15,44.5,4,0.012,0
28,Static_120s_Fixed,North-South,11,34.68,2,0.0088,0
29,Static_120s_Fixed,North-South,12,33.3,2,0.0096,0
30,Static_120s_Fixed,North-South,8,24.18,0,0.0064,0
31,Static_120s_Fixed,North-South,11,30.65,1,0.0088,0
32,Static_120s_Fixed,North-South,17,45.72,4,0.0136,0
33,Static_120s_Fixed,North-South,13,36.46,3,0.0104,0
34,Static_120s_Fixed,North-South,16,47.39,4,0.0128,0
35,Static_120s_Fixed,North-South,12,31.71,4,0.0096,0
36,Static_120s_Fixed,North-South,13,39.37,2,0.0104,0
37,Static_120s_Fixed,North-South,9,23.2,0,0.0072,0
38,Static_120s_Fixed,North-South,16,46.05,2,0.0128,0
39,Static_120s_Fixed,North-South,8,23.39,4,0.0064,0
40,Static_120s_Fixed,North-South,16,42.9,2,0.0128,0
41,Static_120s_Fixed,North-South,13,38.73,4,0.0104,0
42,Static_120s_Fixed,North-South,15,40.27,4,0.012,0
43,Static_120s_Fixed,North-South,15,40.71,0,0.012,0
44,Static_120s_Fixed,North-South,12,37.14,1,0.0096,0
45,Static_120s_Fixed,North-South,12,32.45,0,0.0096,0
46,Static_120s_Fixed,North-South,14,42.55,4,0.0112,0
47,Static_120s_Fixed,North-South,10,30.59,3,0.008,0
48,Static_120s_Fixed,North-South,22,60.37,0,0.0176,0
49,Static_120s_Fixed,North-South,11,32.84,1,0.0088,0
50,Static_120s_Fixed,North-South,17,49,4,0.0136,0
51,Static_120s_Fixed,North-South,9,27.76,3,0.0072,0
52,Static_120s_Fixed,North-South,13,37.32,4,0.0104,0
53,Static_120s_Fixed,North-South,18,51.82,3,0.0144,0
54,Static_120s_Fixed,North-South,11,30.35,1,0.0088,0
55,Static_120s_Fixed,North-South,9,24.02,1,0.0072,0
56,Static_120s_Fixed,North-South,12,33.88,3,0.0096,0
57,Static_120s_Fixed,North-South,8,26.08,2,0.0064,0
58,Static_120s_Fixed,North-South,11,28.81,4,0.0088,0
59,Static_120s_Fixed,North-South,16,43.24,2,0.0128,0
60,Static_120s_Fixed,North-South,15,45.62,4,0.012,0
61,Static_120s_Fixed,North-South,13,39.18,2,0.0104,0
62,Static_120s_Fixed,North-South,14,38.38,0,0.0112,0
63,Static_120s_Fixed,North-South,15,42.79,0,0.012,0
64,Static_120s_Fixed,North-South,17,46.59,3,0.0136,0
65,Static_120s_Fixed,North-South,18,51.08,3,0.0144,0
66,Static_120s_Fixed,North-South,12,32.12,3,0.0096,0
67,Static_120s_Fixed,North-South,14,42.07,0,0.0112,0
68,Static_120s_Fixed,North-South,12,34.19,1,0.0096,0
69,Static_120s_Fixed,North-South,21,58.89,3,0.0168,0
70,Static_120s_Fixed,North-South,15,45.18,1,0.012,0
71,Static_120s_Fixed,North-South,16,44.03,3,0.0128,0
72,Static_120s_Fixed,North-South,12,34.86,2,0.0096,0
73,Static_120s_Fixed,North-South,11,29.21,4,0.0088,0
74,Static_120s_Fixed,North-South,10,27.93,1,0.008,0
75,Static_120s_Fixed,North-South,23,67.01,0,0.0184,0
76,Static_120s_Fixed,North-South,15,40.51,4,0.012,0
77,Static_120s_Fixed,North-South,10,30.51,3,0.008,0
78,Static_120s_Fixed,North-South,16,46.85,1,0.0128,0
79,Static_120s_Fixed,North-South,13,36.92,0,0.0104,0
80,Static_120s_Fixed,North-South,13,34.96,1,0.0104,0
81,Static_120s_Fixed,North-South,11,33.1,3,0.0088,0
82,Static_120s_Fixed,North-South,15,42.84,3,0.012,0
83,Static_120s_Fixed,North-South,19,52.04,2,0.0152,0
84,Static_120s_Fixed,North-South,17,47.78,2,0.0136,0
85,Static_120s_Fixed,North-South,7,23.51,2,0.0056,0
86,Static_120s_Fixed,North-South,22,60.64,3,0.0176,0
